,dt,new_users_count,day_after_install,retained_users_count,retention
379,2020-01-26,68,82.0,1.0,0.014705882352941176
380,2020-01-26,68,84.0,1.0,0.014705882352941176
381,2020-01-26,68,86.0,1.0,0.014705882352941176
382,2020-01-26,68,94.0,1.0,0.014705882352941176
383,2020-01-26,68,95.0,1.0,0.014705882352941176
384,2020-01-26,68,97.0,1.0,0.014705882352941176
385,2020-01-26,68,108.0,1.0,0.014705882352941176
386,2020-01-26,68,109.0,1.0,0.014705882352941176
387,2020-01-26,68,110.0,1.0,0.014705882352941176
388,2020-01-26,68,112.0,1.0,0.014705882352941176
389,2020-01-26,68,113.0,1.0,0.014705882352941176
390,2020-01-26,68,115.0,2.0,0.029411764705882353
391,2020-01-26,68,117.0,1.0,0.014705882352941176
392,2020-01-26,68,121.0,1.0,0.014705882352941176
393,2020-01-26,68,123.0,1.0,0.014705882352941176
394,2020-01-26,68,125.0,1.0,0.014705882352941176
395,2020-01-26,68,126.0,3.0,0.04411764705882353
396,2020-01-26,68,127.0,2.0,0.029411764705882353
397,2020-01-26,68,128.0,1.0,0.014705882352941176
398,2020-01-26,68,134.0,1.0,0.014705882352941176
399,2020-01-26,68,137.0,1.0,0.014705882352941176
400,2020-01-26,68,138.0,2.0,0.029411764705882353
401,2020-01-26,68,139.0,2.0,0.029411764705882353
402,2020-01-26,68,140.0,1.0,0.014705882352941176
403,2020-01-26,68,144.0,1.0,0.014705882352941176
404,2020-01-26,68,147.0,1.0,0.014705882352941176
405,2020-01-26,68,150.0,1.0,0.014705882352941176
406,2020-01-26,68,155.0,1.0,0.014705882352941176
407,2020-01-27,99,1.0,15.0,0.15151515151515152
408,2020-01-27,99,2.0,9.0,0.09090909090909091
409,2020-01-27,99,3.0,3.0,0.030303030303030304
410,2020-01-27,99,4.0,2.0,0.020202020202020204
411,2020-01-27,99,5.0,4.0,0.04040404040404041
412,2020-01-27,99,6.0,3.0,0.030303030303030304
413,2020-01-27,99,7.0,2.0,0.020202020202020204
414,2020-01-27,99,8.0,2.0,0.020202020202020204
415,2020-01-27,99,10.0,1.0,0.010101010101010102
416,2020-01-27,99,11.0,1.0,0.010101010101010102
417,2020-01-27,99,12.0,1.0,0.010101010101010102
418,2020-01-27,99,13.0,3.0,0.030303030303030304
419,2020-01-27,99,15.0,1.0,0.010101010101010102
420,2020-01-27,99,16.0,2.0,0.020202020202020204
421,2020-01-27,99,17.0,1.0,0.010101010101010102
422,2020-01-27,99,18.0,1.0,0.010101010101010102
423,2020-01-27,99,21.0,2.0,0.020202020202020204
424,2020-01-27,99,23.0,1.0,0.010101010101010102
425,2020-01-27,99,24.0,1.0,0.010101010101010102
426,2020-01-27,99,25.0,1.0,0.010101010101010102
427,2020-01-27,99,27.0,1.0,0.010101010101010102
428,2020-01-27,99,28.0,1.0,0.010101010101010102
429,2020-01-27,99,37.0,1.0,0.010101010101010102
430,2020-01-27,99,39.0,1.0,0.010101010101010102
431,2020-01-27,99,46.0,1.0,0.010101010101010102
432,2020-01-27,99,50.0,1.0,0.010101010101010102
433,2020-01-27,99,51.0,1.0,0.010101010101010102
434,2020-01-27,99,56.0,1.0,0.010101010101010102
435,2020-01-27,99,76.0,1.0,0.010101010101010102
436,2020-01-27,99,86.0,1.0,0.010101010101010102
